id,IMD18,Employment,Incom,Crime,Housing,Health,Education,Access,,,,,,,,,
7600227,6,7,5,4,3,4,8,10,,,,,,,,,
7600228,8,9,8,3,7,8,7,4,,,,,,,,,
7600229,7,8,6,6,6,6,6,6,,,,,,,,,
7600230,2,2,4,2,3,2,2,6,,,,,,,,,
7600231,7,7,6,5,7,7,6,6,,,,,,,,,
7600232,7,5,7,2,7,8,8,6,,,,,,,,,
7600233,6,6,7,6,7,6,3,4,,,,,,,,,
7600234,3,3,5,1,5,4,3,4,,,,,,,,,
7600235,7,7,8,5,7,7,6,4,,,,,,,,,
7600236,6,6,7,5,8,6,5,2,,,,,,,,,
7600237,8,9,8,4,8,8,7,4,,,,,,,,,
7600238,8,8,8,6,9,6,7,4,,,,,,,,,
7600239,7,4,8,3,8,8,7,2,,,,,,,,,
7600240,8,8,7,4,9,9,7,2,,,,,,,,,
7600241,7,1,5,8,10,2,10,9,,,,,,,,,
7600242,6,6,6,2,7,6,3,4,,,,,,,,,
7600243,1,1,1,4,1,3,1,6,,,,,,,,,
7600244,1,3,1,3,1,1,3,9,,,,,,,,,
7600245,6,6,7,3,7,6,5,3,,,,,,,,,
7600246,3,3,3,6,3,5,3,7,,,,,,,,,
7600247,2,4,3,4,1,2,3,8,,,,,,,,,
7600248,7,6,7,9,8,7,5,2,,,,,,,,,
7600249,8,6,8,5,8,8,9,2,,,,,,,,,
7600250,7,7,6,10,8,5,5,1,,,,,,,,,
7600251,8,8,8,2,7,8,8,7,,,,,,,,,
7600252,5,2,6,3,7,7,5,4,,,,,,,,,
7600253,7,8,8,5,8,6,5,4,,,,,,,,,
7600254,7,5,8,5,8,7,6,3,,,,,,,,,
7600255,8,8,9,5,9,8,6,6,,,,,,,,,
7600256,1,2,3,1,3,2,1,5,,,,,,,,,
7600257,8,8,8,10,7,8,6,5,,,,,,,,,
7600258,8,9,8,4,8,8,6,5,,,,,,,,,
7600259,8,8,9,5,9,8,8,5,,,,,,,,,
7600260,8,8,9,5,8,9,6,6,,,,,,,,,
7600261,9,10,8,8,8,8,8,4,,,,,,,,,
7600262,6,6,5,5,8,8,2,2,,,,,,,,,
7600263,9,9,9,10,9,10,7,2,,,,,,,,,
7600264,7,8,7,3,8,8,6,4,,,,,,,,,
7600265,8,7,8,5,8,8,8,5,,,,,,,,,
7600266,9,9,9,7,8,9,9,6,,,,,,,,,
7600267,6,7,7,2,6,8,5,6,,,,,,,,,
7600268,2,2,2,8,4,4,3,2,,,,,,,,,
7600269,8,7,7,3,8,9,7,6,,,,,,,,,
7600270,8,8,8,6,8,7,7,3,,,,,,,,,
7600271,7,7,7,4,8,8,8,2,,,,,,,,,
7600272,9,9,9,5,10,10,9,7,,,,,,,,,
7600273,5,5,7,2,6,5,5,6,,,,,,,,,
7600274,1,2,2,4,2,3,1,5,,,,,,,,,
7600275,5,2,8,2,3,6,6,3,,,,,,,,,
7600276,7,8,6,3,7,8,6,5,,,,,,,,,
7600277,10,9,10,9,10,9,7,1,,,,,,,,,
7600278,3,2,5,5,1,5,1,2,,,,,,,,,
7600279,2,3,3,3,2,1,1,8,,,,,,,,,
7600280,9,9,9,4,9,9,8,7,,,,,,,,,
7600281,4,6,3,2,2,4,3,9,,,,,,,,,
7600282,2,2,3,2,3,2,4,9,,,,,,,,,
7600283,8,8,9,9,9,9,6,2,,,,,,,,,
7600284,2,4,3,6,2,3,2,7,,,,,,,,,
7600286,3,5,3,4,2,3,4,9,,,,,,,,,
7600287,9,9,9,7,8,10,9,7,,,,,,,,,
7600288,3,3,4,4,4,2,3,6,,,,,,,,,
7600289,5,1,5,8,8,5,5,9,,,,,,,,,
7600290,6,5,6,5,4,7,6,6,,,,,,,,,
7600291,9,8,10,4,10,9,8,3,,,,,,,,,
7600292,7,7,4,3,2,10,3,4,,,,,,,,,
7600293,5,6,6,2,7,6,3,4,,,,,,,,,
7600294,9,9,8,10,9,8,5,1,,,,,,,,,
7600295,9,9,9,4,9,9,7,4,,,,,,,,,
7600296,4,6,4,3,4,4,4,5,,,,,,,,,
7600297,9,10,9,9,9,7,4,3,,,,,,,,,
7600298,9,7,9,10,9,8,8,1,,,,,,,,,
7600299,3,2,4,2,3,5,3,7,,,,,,,,,
7600300,1,2,2,1,4,1,2,9,,,,,,,,,
7600301,6,6,6,9,5,5,7,6,,,,,,,,,
7600302,9,8,7,7,10,10,7,2,,,,,,,,,
7600303,2,5,1,5,3,2,2,8,,,,,,,,,
7600304,5,4,6,3,5,7,6,8,,,,,,,,,
7600305,5,4,3,3,4,8,5,9,,,,,,,,,
7600306,3,3,4,2,4,6,2,6,,,,,,,,,
7600307,4,5,5,2,5,6,3,5,,,,,,,,,
7600308,9,9,9,2,9,9,7,6,,,,,,,,,
7600309,7,6,7,5,9,7,6,4,,,,,,,,,
7600310,8,8,8,3,9,9,7,3,,,,,,,,,
7600311,7,7,8,7,9,6,5,6,,,,,,,,,
7600312,8,8,8,6,9,7,4,4,,,,,,,,,
7600313,6,6,7,4,8,7,6,4,,,,,,,,,
7600314,7,7,8,8,8,4,6,3,,,,,,,,,
7600315,1,1,1,3,1,1,1,8,,,,,,,,,
7600316,9,8,9,4,10,9,9,4,,,,,,,,,
7600317,3,2,4,4,3,7,4,5,,,,,,,,,
7600318,7,6,7,10,7,8,7,7,,,,,,,,,
7600319,8,7,8,8,9,6,4,2,,,,,,,,,
7600320,4,4,4,2,3,4,6,10,,,,,,,,,
7600321,2,3,3,3,3,3,3,9,,,,,,,,,
7600322,5,6,6,3,6,5,5,5,,,,,,,,,
7600323,1,2,1,2,1,1,2,8,,,,,,,,,
7600324,5,2,6,3,7,7,5,4,,,,,,,,,
7600325,6,7,6,10,5,3,5,7,,,,,,,,,
7600326,4,6,1,1,2,7,4,7,,,,,,,,,
7600327,8,9,8,6,9,7,6,3,,,,,,,,,
7600328,7,6,7,7,9,9,6,2,,,,,,,,,
7600329,8,9,8,10,10,8,5,2,,,,,,,,,
7600330,7,6,7,10,8,8,7,7,,,,,,,,,
7600331,5,6,7,2,7,5,3,6,,,,,,,,,
7600332,1,2,2,3,5,2,3,8,,,,,,,,,
7600333,7,8,7,3,9,7,4,5,,,,,,,,,
7600334,6,7,6,4,8,5,4,4,,,,,,,,,
7600335,4,6,4,9,5,1,2,7,,,,,,,,,
7600336,8,8,7,9,10,7,6,2,,,,,,,,,
7600337,4,2,7,1,8,3,4,6,,,,,,,,,
7600338,8,7,8,3,8,10,8,5,,,,,,,,,
7600339,5,2,7,4,7,5,3,6,,,,,,,,,
7600340,1,3,1,2,2,3,2,8,,,,,,,,,
7600341,1,1,2,1,1,1,2,8,,,,,,,,,
7600342,9,8,9,10,10,9,4,2,,,,,,,,,
7600344,8,7,8,3,9,9,6,6,,,,,,,,,
7600345,5,5,6,6,9,3,2,2,,,,,,,,,
7600346,8,7,8,1,9,9,8,7,,,,,,,,,
7600347,2,3,2,2,3,4,3,8,,,,,,,,,
7600348,6,6,7,6,9,7,6,4,,,,,,,,,
7600349,6,7,6,3,4,9,4,5,,,,,,,,,
7600350,3,2,2,2,1,9,3,7,,,,,,,,,
7600351,5,5,7,4,8,4,5,5,,,,,,,,,
7600352,9,8,10,6,10,9,8,3,,,,,,,,,
7600353,9,8,8,6,10,10,5,3,,,,,,,,,
7600354,8,6,8,3,10,7,5,2,,,,,,,,,
7600355,2,3,2,2,2,5,3,8,,,,,,,,,
7600356,5,6,5,4,3,5,5,6,,,,,,,,,
7600357,9,9,10,7,10,8,8,3,,,,,,,,,
7600358,7,8,5,7,4,4,8,9,,,,,,,,,
7600359,9,8,8,9,10,10,6,5,,,,,,,,,
7600361,8,7,8,5,9,9,6,3,,,,,,,,,
7600362,5,5,6,7,5,8,3,6,,,,,,,,,
7600363,4,4,3,2,4,7,4,7,,,,,,,,,
7600364,1,1,1,2,1,1,3,8,,,,,,,,,
7600365,7,4,7,7,9,8,6,5,,,,,,,,,
7600366,6,6,7,10,5,5,4,8,,,,,,,,,
7600367,1,1,2,4,2,3,2,8,,,,,,,,,
7600368,1,1,2,1,2,2,3,7,,,,,,,,,
7600369,8,8,8,9,9,7,6,2,,,,,,,,,
7600370,3,4,3,7,5,2,3,9,,,,,,,,,
7600371,1,1,2,1,2,2,1,8,,,,,,,,,
7600372,4,4,4,5,6,3,4,6,,,,,,,,,
7600373,8,7,8,7,10,9,8,1,,,,,,,,,
7600374,9,8,9,10,10,9,6,2,,,,,,,,,
7600375,3,4,5,1,1,4,3,6,,,,,,,,,
7600377,1,3,2,1,1,4,2,4,,,,,,,,,
7600378,5,1,3,1,5,10,3,6,,,,,,,,,
7600379,2,1,1,1,1,9,2,7,,,,,,,,,
7600380,4,5,3,1,7,4,3,6,,,,,,,,,
7600381,1,1,2,1,2,1,2,8,,,,,,,,,
7600382,7,5,5,6,7,10,5,3,,,,,,,,,
7600383,1,1,2,4,3,3,3,6,,,,,,,,,
7600384,5,4,5,3,6,7,5,6,,,,,,,,,
7600385,8,5,8,6,10,8,6,3,,,,,,,,,
7600386,6,6,7,8,6,4,4,5,,,,,,,,,
7600387,1,2,2,1,5,1,2,8,,,,,,,,,
7600389,5,4,7,4,5,7,4,5,,,,,,,,,
7600390,1,1,2,7,3,1,4,6,,,,,,,,,
7600391,8,8,7,9,9,8,4,1,,,,,,,,,
7600392,9,9,8,9,9,9,5,1,,,,,,,,,
7600393,5,4,6,4,9,3,2,3,,,,,,,,,
7600394,5,5,6,4,7,5,3,5,,,,,,,,,
7600395,3,2,5,2,6,4,2,6,,,,,,,,,
7600396,3,2,3,4,3,7,5,5,,,,,,,,,
7600397,3,3,2,6,2,3,6,10,,,,,,,,,
7600398,2,2,3,5,4,2,3,6,,,,,,,,,
7600399,1,1,2,1,4,2,2,5,,,,,,,,,
7600400,2,1,4,5,4,1,2,6,,,,,,,,,
7600401,8,8,8,4,9,6,6,2,,,,,,,,,
7600402,1,1,1,1,4,2,2,7,,,,,,,,,
7600403,8,9,9,5,9,8,5,1,,,,,,,,,
7600404,9,8,9,5,10,10,8,6,,,,,,,,,
7600405,4,2,6,5,4,3,7,10,,,,,,,,,
7600406,8,8,8,6,10,9,7,2,,,,,,,,,
7600407,2,3,3,3,3,4,2,9,,,,,,,,,
7600408,4,3,6,2,4,4,3,4,,,,,,,,,
7600409,4,3,5,5,7,5,3,3,,,,,,,,,
7600410,6,8,8,4,4,2,6,8,,,,,,,,,
7600411,1,1,2,2,2,1,1,6,,,,,,,,,
7600413,4,5,5,7,2,2,5,10,,,,,,,,,
7600414,8,8,9,5,10,7,8,6,,,,,,,,,
7600415,5,6,6,4,6,4,4,5,,,,,,,,,
7600416,7,5,7,4,8,9,6,5,,,,,,,,,
7600417,5,2,5,5,6,9,3,3,,,,,,,,,
7600418,9,7,9,3,10,10,9,4,,,,,,,,,
7600419,5,7,4,4,8,6,2,5,,,,,,,,,
7600420,9,8,8,10,10,7,8,1,,,,,,,,,
7600421,6,7,6,5,5,5,5,7,,,,,,,,,
7600422,3,3,2,4,4,9,2,6,,,,,,,,,
7600423,4,4,6,3,6,5,2,2,,,,,,,,,
7600424,8,9,8,10,9,9,5,1,,,,,,,,,
7600425,5,3,6,7,9,6,3,2,,,,,,,,,
7600426,5,6,5,5,7,6,2,4,,,,,,,,,
7600427,4,5,5,2,4,4,3,8,,,,,,,,,
7600428,5,4,6,4,8,7,5,2,,,,,,,,,
7600429,6,6,5,10,4,7,7,6,,,,,,,,,
7600430,9,9,9,5,10,10,8,2,,,,,,,,,
7600431,3,6,4,4,6,1,2,6,,,,,,,,,
